"Antragssteller_ID","Kredit_Zeitspanne","Antragssteller_Kredit_Historie","Kredit_Nutzung","Kredit_Höhe","Antragssteller_Beschäftigt_Seit","Antragssteller_Teilzahlungshöhe","Antragssteller_Geschlecht_Familienstand","Kredit_Zusätzliche_Antragssteller","Antragssteller_Letzter_Wohnwechsel","Antragssteller_Eigentum","Antragssteller_Alter","Antragssteller_Weitere_Ratenzahlungen","Antragssteller_Wohnverhältnis","Antragssteller_Anzahl_Kredite","Antragssteller_Job","Antragssteller_Anzahl_Personen_Vormund","Antragssteller_Telefon","Antragssteller_Ausländisch","Kredit_Score"
13,12,"existing credits paid back duly till now","radio/television",1567,"1 to 4 years",1,"female (divorced/separated/married)","none",1,"car or other",22,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
14,24,"critical account/ other credits existing (not at this bank)","car (new)",1199,"more than 7 years",4,"male (single)","none",4,"car or other",60,"none","own",2,"unskilled - resident",1,"none",NA,"bad"
15,15,"existing credits paid back duly till now","car (new)",1403,"1 to 4 years",2,"female (divorced/separated/married)","none",4,"car or other",28,"none","rent",1,"skilled employee / official",1,"none",NA,"good"
16,24,"existing credits paid back duly till now","radio/television",1282,"1 to 4 years",4,"female (divorced/separated/married)","none",2,"car or other",32,"none","own",1,"unskilled - resident",1,"none","Yes","bad"
17,24,"critical account/ other credits existing (not at this bank)","radio/television",2424,"more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",53,"none","own",2,"skilled employee / official",1,"none","Yes","good"
18,30,"no credits taken / all credits paid back duly","business",8072,"less than 1 year",2,"male (single)","none",3,"car or other",25,"bank","own",3,"skilled employee / official",1,"none","Yes","good"
19,24,"existing credits paid back duly till now","car (used)",12579,"more than 7 years",4,"female (divorced/separated/married)","none",2,"unknown / no property",44,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
20,24,"existing credits paid back duly till now","radio/television",3430,"more than 7 years",3,"male (single)","none",2,"car or other",31,"none","own",1,"skilled employee / official",2,"yes, registered under the customers name",NA,"good"
21,9,"critical account/ other credits existing (not at this bank)","car (new)",2134,"1 to 4 years",4,"male (single)","none",4,"car or other",48,"none","own",3,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
22,6,"existing credits paid back duly till now","radio/television",2647,"1 to 4 years",2,"male (single)","none",3,"real estate",44,"none","rent",1,"skilled employee / official",2,"none",NA,"good"
23,10,"critical account/ other credits existing (not at this bank)","car (new)",2241,"less than 1 year",1,"male (single)","none",3,"real estate",48,"none","rent",2,"unskilled - resident",2,"none",NA,"good"
24,12,"critical account/ other credits existing (not at this bank)","car (used)",1804,"less than 1 year",3,"male (single)","none",4,"building society savings agreement/ life insurance",44,"none","own",1,"skilled employee / official",1,"none",NA,"good"
25,10,"critical account/ other credits existing (not at this bank)","furniture/equipment",2069,"1 to 4 years",2,"male (married/widowed)","none",1,"car or other",26,"none","own",2,"skilled employee / official",1,"none",NA,"good"
26,6,"existing credits paid back duly till now","furniture/equipment",1374,"1 to 4 years",1,"male (single)","none",2,"real estate",36,"bank","own",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","good"
27,6,"no credits taken / all credits paid back duly","radio/television",426,"more than 7 years",4,"male (married/widowed)","none",4,"car or other",39,"none","own",1,"unskilled - resident",1,"none","Yes","good"
28,12,"all credits at this bank paid back duly","radio/television",409,"1 to 4 years",3,"female (divorced/separated/married)","none",3,"real estate",42,"none","rent",2,"skilled employee / official",1,"none",NA,"good"
29,7,"existing credits paid back duly till now","radio/television",2415,"1 to 4 years",3,"male (single)","guarantor",2,"real estate",34,"none","own",1,"skilled employee / official",1,"none","Yes","good"
30,60,"delay in paying off in the past","business",6836,"more than 7 years",3,"male (single)","none",4,"unknown / no property",63,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name",NA,"bad"
31,18,"existing credits paid back duly till now","business",1913,"less than 1 year",3,"male (married/widowed)","none",3,"real estate",36,"bank","own",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
32,24,"existing credits paid back duly till now","furniture/equipment",4020,"1 to 4 years",2,"male (single)","none",2,"car or other",27,"stores","own",1,"skilled employee / official",1,"none",NA,"good"
33,18,"existing credits paid back duly till now","car (new)",5866,"1 to 4 years",2,"male (single)","none",2,"car or other",30,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
34,12,"critical account/ other credits existing (not at this bank)","business",1264,"more than 7 years",4,"male (single)","none",4,"unknown / no property",57,"none","rent",1,"unskilled - resident",1,"none","Yes","good"
35,12,"existing credits paid back duly till now","furniture/equipment",1474,"less than 1 year",4,"female (divorced/separated/married)","none",1,"building society savings agreement/ life insurance",33,"bank","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name",NA,"good"
36,45,"critical account/ other credits existing (not at this bank)","radio/television",4746,"less than 1 year",4,"male (single)","none",2,"building society savings agreement/ life insurance",25,"none","own",2,"unskilled - resident",1,"none",NA,"bad"
37,48,"critical account/ other credits existing (not at this bank)","education",6110,"1 to 4 years",1,"male (single)","none",3,"unknown / no property",31,"bank","for free",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
38,18,"existing credits paid back duly till now","radio/television",2100,"1 to 4 years",4,"male (single)","co-Applicant",2,"real estate",37,"stores","own",1,"skilled employee / official",1,"none","Yes","bad"
39,10,"existing credits paid back duly till now","domestic appliances",1225,"1 to 4 years",2,"male (single)","none",2,"car or other",37,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
40,9,"existing credits paid back duly till now","radio/television",458,"1 to 4 years",4,"male (single)","none",3,"real estate",24,"none","own",1,"skilled employee / official",1,"none",NA,"good"
41,30,"existing credits paid back duly till now","radio/television",2333,"more than 7 years",4,"male (single)","none",2,"car or other",30,"bank","own",1,"management / self-employed / highly qualified employee / officer",1,"none",NA,"good"
42,12,"existing credits paid back duly till now","radio/television",1158,"1 to 4 years",3,"male (divorced/separated)","none",1,"car or other",26,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
43,18,"delay in paying off in the past","repairs",6204,"1 to 4 years",2,"male (single)","none",4,"real estate",44,"none","own",1,"unskilled - resident",2,"yes, registered under the customers name","Yes","good"
44,30,"critical account/ other credits existing (not at this bank)","car (used)",6187,"4 to 7 years",1,"male (married/widowed)","none",4,"car or other",24,"none","rent",2,"skilled employee / official",1,"none","Yes","good"
45,48,"critical account/ other credits existing (not at this bank)","car (used)",6143,"more than 7 years",4,"female (divorced/separated/married)","none",4,"unknown / no property",58,"stores","for free",2,"unskilled - resident",1,"none","Yes","bad"
46,11,"critical account/ other credits existing (not at this bank)","car (new)",1393,"less than 1 year",4,"female (divorced/separated/married)","none",4,"car or other",35,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"none",NA,"good"
47,36,"existing credits paid back duly till now","radio/television",2299,"more than 7 years",4,"male (single)","none",4,"car or other",39,"none","own",1,"skilled employee / official",1,"none","Yes","good"
48,6,"existing credits paid back duly till now","car (used)",1352,"Unemployed",1,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",23,"none","rent",1,"unemployed / unskilled - non-resident",1,"yes, registered under the customers name",NA,"good"
49,11,"critical account/ other credits existing (not at this bank)","car (new)",7228,"1 to 4 years",1,"male (single)","none",4,"building society savings agreement/ life insurance",39,"none","own",2,"unskilled - resident",1,"none",NA,"good"
50,12,"existing credits paid back duly till now","radio/television",2073,"1 to 4 years",4,"female (divorced/separated/married)","co-Applicant",2,"real estate",28,"none","own",1,"skilled employee / official",1,"none","Yes","good"
51,24,"delay in paying off in the past","furniture/equipment",2333,"less than 1 year",4,"male (single)","none",2,"building society savings agreement/ life insurance",29,"bank","own",1,"unskilled - resident",1,"none",NA,"good"
52,27,"delay in paying off in the past","car (used)",5965,"more than 7 years",1,"male (single)","none",2,"car or other",30,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name",NA,"good"
53,12,"existing credits paid back duly till now","radio/television",1262,"1 to 4 years",3,"male (single)","none",2,"car or other",25,"none","own",1,"skilled employee / official",1,"none",NA,"good"
54,18,"existing credits paid back duly till now","car (used)",3378,"1 to 4 years",2,"male (single)","none",1,"building society savings agreement/ life insurance",31,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
55,36,"delay in paying off in the past","car (new)",2225,"more than 7 years",4,"male (single)","none",4,"unknown / no property",57,"bank","for free",2,"skilled employee / official",1,"yes, registered under the customers name",NA,"bad"
56,6,"all credits at this bank paid back duly","car (new)",783,"1 to 4 years",1,"male (single)","guarantor",2,"real estate",26,"stores","own",1,"unskilled - resident",2,"none","Yes","good"
57,12,"existing credits paid back duly till now","radio/television",6468,"Unemployed",2,"male (single)","none",1,"unknown / no property",52,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name",NA,"bad"
58,36,"critical account/ other credits existing (not at this bank)","radio/television",9566,"1 to 4 years",2,"female (divorced/separated/married)","none",2,"car or other",31,"stores","own",2,"skilled employee / official",1,"none","Yes","good"
59,18,"existing credits paid back duly till now","car (new)",1961,"more than 7 years",3,"female (divorced/separated/married)","none",2,"car or other",23,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"none",NA,"good"
60,36,"critical account/ other credits existing (not at this bank)","furniture/equipment",6229,"less than 1 year",4,"female (divorced/separated/married)","co-Applicant",4,"unknown / no property",23,"none","rent",2,"unskilled - resident",1,"yes, registered under the customers name",NA,"bad"
61,9,"existing credits paid back duly till now","business",1391,"1 to 4 years",2,"male (married/widowed)","none",1,"real estate",27,"bank","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
62,15,"critical account/ other credits existing (not at this bank)","radio/television",1537,"more than 7 years",4,"male (single)","guarantor",4,"real estate",50,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
63,36,"no credits taken / all credits paid back duly","business",1953,"more than 7 years",4,"male (single)","none",4,"unknown / no property",61,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
64,48,"no credits taken / all credits paid back duly","business",14421,"1 to 4 years",2,"male (single)","none",2,"car or other",25,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"bad"
65,24,"existing credits paid back duly till now","radio/television",3181,"less than 1 year",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",26,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
66,27,"existing credits paid back duly till now","repairs",5190,"more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",48,"none","own",4,"skilled employee / official",2,"yes, registered under the customers name","Yes","good"
67,12,"existing credits paid back duly till now","radio/television",2171,"less than 1 year",2,"female (divorced/separated/married)","none",2,"car or other",29,"bank","own",1,"skilled employee / official",1,"none",NA,"good"
68,12,"existing credits paid back duly till now","car (new)",1007,"1 to 4 years",4,"male (married/widowed)","none",1,"real estate",22,"none","own",1,"skilled employee / official",1,"none","Yes","good"
69,36,"existing credits paid back duly till now","education",1819,"1 to 4 years",4,"male (single)","none",4,"unknown / no property",37,"stores","for free",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"bad"
70,36,"existing credits paid back duly till now","radio/television",2394,"1 to 4 years",4,"female (divorced/separated/married)","none",4,"car or other",25,"none","own",1,"skilled employee / official",1,"none",NA,"good"
71,36,"existing credits paid back duly till now","car (used)",8133,"1 to 4 years",1,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",30,"bank","own",1,"skilled employee / official",1,"none","Yes","good"
72,7,"critical account/ other credits existing (not at this bank)","radio/television",730,"more than 7 years",4,"male (single)","none",2,"building society savings agreement/ life insurance",46,"none","rent",2,"unskilled - resident",1,"yes, registered under the customers name","Yes","good"
73,8,"critical account/ other credits existing (not at this bank)","others",1164,"more than 7 years",3,"male (single)","none",4,"unknown / no property",51,"bank","for free",2,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name",NA,"good"
74,42,"critical account/ other credits existing (not at this bank)","business",5954,"4 to 7 years",2,"female (divorced/separated/married)","none",1,"real estate",41,"bank","own",2,"unskilled - resident",1,"none","Yes","good"
75,36,"existing credits paid back duly till now","education",1977,"more than 7 years",4,"male (single)","none",4,"unknown / no property",40,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
76,12,"critical account/ other credits existing (not at this bank)","car (used)",1526,"more than 7 years",4,"male (single)","none",4,"unknown / no property",66,"none","for free",2,"management / self-employed / highly qualified employee / officer",1,"none","Yes","good"
77,42,"existing credits paid back duly till now","radio/television",3965,"less than 1 year",4,"male (single)","none",3,"car or other",34,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
78,11,"delay in paying off in the past","radio/television",4771,"4 to 7 years",2,"male (single)","none",4,"building society savings agreement/ life insurance",51,"none","own",1,"skilled employee / official",1,"none","Yes","good"
79,54,"no credits taken / all credits paid back duly","car (used)",9436,"1 to 4 years",2,"male (single)","none",2,"building society savings agreement/ life insurance",39,"none","own",1,"unskilled - resident",2,"none",NA,"good"
80,30,"existing credits paid back duly till now","furniture/equipment",3832,"less than 1 year",2,"male (married/widowed)","none",1,"building society savings agreement/ life insurance",22,"none","own",1,"skilled employee / official",1,"none",NA,"good"
81,24,"existing credits paid back duly till now","radio/television",5943,"less than 1 year",1,"female (divorced/separated/married)","none",1,"car or other",44,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name",NA,"bad"
82,15,"existing credits paid back duly till now","radio/television",1213,"more than 7 years",4,"male (single)","none",3,"building society savings agreement/ life insurance",47,"stores","own",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
83,18,"existing credits paid back duly till now","business",1568,"1 to 4 years",3,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",24,"none","rent",1,"unskilled - resident",1,"none",NA,"good"
84,24,"existing credits paid back duly till now","others",1755,"more than 7 years",4,"female (divorced/separated/married)","guarantor",4,"real estate",58,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name",NA,"good"
85,10,"existing credits paid back duly till now","radio/television",2315,"more than 7 years",3,"male (single)","none",4,"real estate",52,"none","own",1,"unskilled - resident",1,"none","Yes","good"
86,12,"critical account/ other credits existing (not at this bank)","business",1412,"1 to 4 years",4,"female (divorced/separated/married)","guarantor",2,"real estate",29,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
87,18,"critical account/ other credits existing (not at this bank)","furniture/equipment",1295,"less than 1 year",4,"female (divorced/separated/married)","none",1,"building society savings agreement/ life insurance",27,"none","own",2,"skilled employee / official",1,"none",NA,"good"
88,36,"existing credits paid back duly till now","education",12612,"1 to 4 years",1,"male (single)","none",4,"unknown / no property",47,"none","for free",1,"skilled employee / official",2,"yes, registered under the customers name",NA,"bad"
89,18,"existing credits paid back duly till now","car (new)",2249,"4 to 7 years",4,"male (single)","none",3,"car or other",30,"none","own",1,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name",NA,"good"
90,12,"no credits taken / all credits paid back duly","repairs",1108,"4 to 7 years",4,"male (single)","none",3,"real estate",28,"none","own",2,"skilled employee / official",1,"none",NA,"bad"
91,12,"critical account/ other credits existing (not at this bank)","radio/television",618,"more than 7 years",4,"male (single)","none",4,"real estate",56,"none","own",1,"skilled employee / official",1,"none",NA,"good"
92,12,"critical account/ other credits existing (not at this bank)","car (used)",1409,"more than 7 years",4,"male (single)","none",3,"real estate",54,"none","own",1,"skilled employee / official",1,"none",NA,"good"
93,12,"critical account/ other credits existing (not at this bank)","radio/television",797,"more than 7 years",4,"female (divorced/separated/married)","none",3,"building society savings agreement/ life insurance",33,"bank","own",1,"unskilled - resident",2,"none","Yes","bad"
94,24,"critical account/ other credits existing (not at this bank)","furniture/equipment",3617,"more than 7 years",4,"male (single)","co-Applicant",4,"unknown / no property",20,"none","rent",2,"skilled employee / official",1,"none",NA,"good"
95,12,"existing credits paid back duly till now","car (new)",1318,"more than 7 years",4,"male (single)","none",4,"real estate",54,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
96,54,"no credits taken / all credits paid back duly","business",15945,"less than 1 year",3,"male (single)","none",4,"unknown / no property",58,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"bad"
97,12,"critical account/ other credits existing (not at this bank)","education",2012,"4 to 7 years",4,"female (divorced/separated/married)","none",2,"car or other",61,"none","own",1,"skilled employee / official",1,"none",NA,"good"
98,18,"existing credits paid back duly till now","business",2622,"1 to 4 years",4,"male (single)","none",4,"car or other",34,"none","own",1,"skilled employee / official",1,"none",NA,"good"
99,36,"critical account/ other credits existing (not at this bank)","radio/television",2337,"more than 7 years",4,"male (single)","none",4,"real estate",36,"none","own",1,"skilled employee / official",1,"none","Yes","good"
100,20,"delay in paying off in the past","car (used)",7057,"4 to 7 years",3,"male (single)","none",4,"building society savings agreement/ life insurance",36,"bank","rent",2,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name",NA,"good"
101,24,"existing credits paid back duly till now","car (new)",1469,"more than 7 years",4,"male (married/widowed)","none",4,"real estate",41,"none","rent",1,"unskilled - resident",1,"none","Yes","good"
102,36,"existing credits paid back duly till now","radio/television",2323,"4 to 7 years",4,"male (single)","none",4,"car or other",24,"none","rent",1,"skilled employee / official",1,"none",NA,"good"
103,6,"delay in paying off in the past","radio/television",932,"1 to 4 years",3,"female (divorced/separated/married)","none",2,"real estate",24,"none","own",1,"skilled employee / official",1,"none",NA,"good"
104,9,"critical account/ other credits existing (not at this bank)","furniture/equipment",1919,"4 to 7 years",4,"male (single)","none",3,"car or other",35,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
105,12,"existing credits paid back duly till now","car (used)",2445,"less than 1 year",2,"male (married/widowed)","none",4,"car or other",26,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
106,24,"critical account/ other credits existing (not at this bank)","others",11938,"1 to 4 years",2,"male (single)","co-Applicant",3,"car or other",39,"none","own",2,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","bad"
107,18,"all credits at this bank paid back duly","car (new)",6458,"more than 7 years",2,"male (single)","none",4,"unknown / no property",39,"bank","own",2,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","bad"
108,12,"existing credits paid back duly till now","car (new)",6078,"4 to 7 years",2,"male (single)","none",2,"car or other",32,"none","own",1,"skilled employee / official",1,"none",NA,"good"
109,24,"existing credits paid back duly till now","furniture/equipment",7721,"less than 1 year",1,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",30,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
110,14,"existing credits paid back duly till now","business",1410,"more than 7 years",1,"male (married/widowed)","none",2,"real estate",35,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
111,6,"delay in paying off in the past","business",1449,"more than 7 years",1,"male (divorced/separated)","none",2,"car or other",31,"bank","own",2,"skilled employee / official",2,"none",NA,"good"
112,15,"existing credits paid back duly till now","education",392,"less than 1 year",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",23,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
113,18,"existing credits paid back duly till now","car (new)",6260,"4 to 7 years",3,"male (single)","none",3,"real estate",28,"none","rent",1,"unskilled - resident",1,"none",NA,"good"
114,36,"critical account/ other credits existing (not at this bank)","car (new)",7855,"1 to 4 years",4,"female (divorced/separated/married)","none",2,"real estate",25,"stores","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
115,12,"existing credits paid back duly till now","radio/television",1680,"more than 7 years",3,"male (married/widowed)","none",1,"real estate",35,"none","own",1,"skilled employee / official",1,"none","Yes","good"
116,48,"critical account/ other credits existing (not at this bank)","radio/television",3578,"more than 7 years",4,"male (single)","none",1,"real estate",47,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
117,42,"existing credits paid back duly till now","radio/television",7174,"4 to 7 years",4,"female (divorced/separated/married)","none",3,"car or other",30,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name",NA,"bad"
118,10,"critical account/ other credits existing (not at this bank)","furniture/equipment",2132,"less than 1 year",2,"female (divorced/separated/married)","co-Applicant",3,"real estate",27,"none","rent",2,"skilled employee / official",1,"none",NA,"good"
119,33,"critical account/ other credits existing (not at this bank)","furniture/equipment",4281,"1 to 4 years",1,"female (divorced/separated/married)","none",4,"car or other",23,"none","own",2,"skilled employee / official",1,"none","Yes","bad"
120,12,"critical account/ other credits existing (not at this bank)","car (new)",2366,"4 to 7 years",3,"male (divorced/separated)","none",3,"car or other",36,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name",NA,"good"
121,21,"existing credits paid back duly till now","radio/television",1835,"1 to 4 years",3,"female (divorced/separated/married)","none",2,"real estate",25,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
122,24,"critical account/ other credits existing (not at this bank)","car (used)",3868,"more than 7 years",4,"female (divorced/separated/married)","none",2,"car or other",41,"none","rent",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name",NA,"good"
123,12,"existing credits paid back duly till now","furniture/equipment",1768,"1 to 4 years",3,"male (single)","none",2,"real estate",24,"none","rent",1,"unskilled - resident",1,"none",NA,"good"
124,10,"critical account/ other credits existing (not at this bank)","car (new)",781,"more than 7 years",4,"male (single)","none",4,"unknown / no property",63,"none","for free",2,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
125,18,"existing credits paid back duly till now","furniture/equipment",1924,"less than 1 year",4,"female (divorced/separated/married)","none",3,"real estate",27,"none","rent",1,"skilled employee / official",1,"none","Yes","bad"
126,12,"critical account/ other credits existing (not at this bank)","car (new)",2121,"1 to 4 years",4,"male (single)","none",2,"building society savings agreement/ life insurance",30,"none","own",2,"skilled employee / official",1,"none",NA,"good"
127,12,"existing credits paid back duly till now","radio/television",701,"1 to 4 years",4,"male (married/widowed)","none",2,"real estate",40,"none","own",1,"unskilled - resident",1,"none",NA,"good"
128,12,"existing credits paid back duly till now","repairs",639,"1 to 4 years",4,"male (single)","none",2,"car or other",30,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
129,12,"critical account/ other credits existing (not at this bank)","car (used)",1860,"Unemployed",4,"male (single)","none",2,"car or other",34,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name",NA,"good"
130,12,"critical account/ other credits existing (not at this bank)","car (new)",3499,"1 to 4 years",3,"female (divorced/separated/married)","co-Applicant",2,"real estate",29,"none","own",2,"skilled employee / official",1,"none",NA,"bad"
131,48,"existing credits paid back duly till now","car (new)",8487,"4 to 7 years",1,"female (divorced/separated/married)","none",2,"car or other",24,"none","own",1,"skilled employee / official",1,"none",NA,"good"
132,36,"delay in paying off in the past","education",6887,"1 to 4 years",4,"male (single)","none",3,"building society savings agreement/ life insurance",29,"stores","own",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"bad"
133,15,"existing credits paid back duly till now","furniture/equipment",2708,"less than 1 year",2,"male (single)","none",3,"building society savings agreement/ life insurance",27,"bank","own",2,"unskilled - resident",1,"none","Yes","good"
134,18,"existing credits paid back duly till now","furniture/equipment",1984,"1 to 4 years",4,"male (single)","none",4,"unknown / no property",47,"bank","for free",2,"skilled employee / official",1,"none",NA,"good"
135,60,"existing credits paid back duly till now","radio/television",10144,"4 to 7 years",2,"female (divorced/separated/married)","none",4,"real estate",21,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
136,12,"critical account/ other credits existing (not at this bank)","radio/television",1240,"more than 7 years",4,"female (divorced/separated/married)","none",2,"real estate",38,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
137,27,"delay in paying off in the past","car (used)",8613,"1 to 4 years",2,"male (single)","none",2,"car or other",27,"none","own",2,"skilled employee / official",1,"none",NA,"good"
138,12,"existing credits paid back duly till now","radio/television",766,"1 to 4 years",4,"male (single)","none",3,"real estate",66,"none","own",1,"unskilled - resident",1,"none","Yes","bad"
139,15,"critical account/ other credits existing (not at this bank)","radio/television",2728,"4 to 7 years",4,"male (single)","guarantor",2,"real estate",35,"bank","own",3,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
140,12,"existing credits paid back duly till now","radio/television",1881,"1 to 4 years",2,"female (divorced/separated/married)","none",2,"car or other",44,"none","rent",1,"unskilled - resident",1,"yes, registered under the customers name",NA,"good"
141,6,"existing credits paid back duly till now","car (new)",709,"less than 1 year",2,"male (married/widowed)","none",2,"real estate",27,"none","own",1,"unemployed / unskilled - non-resident",1,"none","No","good"
142,36,"existing credits paid back duly till now","radio/television",4795,"less than 1 year",4,"female (divorced/separated/married)","none",1,"unknown / no property",30,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
